"gene","pct.1","pct.2","description","pct_treated_cells_minus_pct_ctrl"
"CAPZA1",0.196,0.519,"capping actin protein of muscle Z-line subunit alpha 1 [Source:HGNC Symbol;Acc:HGNC:1488]",0.323
"HMGB1",0.382,0.704,"high mobility group box 1 [Source:HGNC Symbol;Acc:HGNC:4983]",0.32199999999999995
"SPEN",0.088,0.407,"spen family transcriptional repressor [Source:HGNC Symbol;Acc:HGNC:17575]",0.31899999999999995
"TIAL1",0.088,0.407,"TIA1 cytotoxic granule associated RNA binding protein like 1 [Source:HGNC Symbol;Acc:HGNC:11804]",0.31899999999999995
"UPF3A",0.088,0.407,"UPF3A regulator of nonsense mediated mRNA decay [Source:HGNC Symbol;Acc:HGNC:20332]",0.31899999999999995
"ITSN2",0.088,0.407,"intersectin 2 [Source:HGNC Symbol;Acc:HGNC:6184]",0.31899999999999995
"DARS",0.088,0.407,"aspartyl-tRNA synthetase [Source:HGNC Symbol;Acc:HGNC:2678]",0.31899999999999995
"ZC3H15",0.088,0.407,"zinc finger CCCH-type containing 15 [Source:HGNC Symbol;Acc:HGNC:29528]",0.31899999999999995
"GTF3C6",0.088,0.407,"general transcription factor IIIC subunit 6 [Source:HGNC Symbol;Acc:HGNC:20872]",0.31899999999999995
"PIM2",0.127,0.444,"Pim-2 proto-oncogene, serine/threonine kinase [Source:HGNC Symbol;Acc:HGNC:8987]",0.317
"RNPS1",0.127,0.444,"RNA binding protein with serine rich domain 1 [Source:HGNC Symbol;Acc:HGNC:10080]",0.317
"SEC62",0.127,0.444,"SEC62 homolog, preprotein translocation factor [Source:HGNC Symbol;Acc:HGNC:11846]",0.317
"ADAR",0.127,0.444,"adenosine deaminase RNA specific [Source:HGNC Symbol;Acc:HGNC:225]",0.317
"ARGLU1",0.353,0.667,"arginine and glutamate rich 1 [Source:HGNC Symbol;Acc:HGNC:25482]",0.31400000000000006
"CHD2",0.167,0.481,"chromodomain helicase DNA binding protein 2 [Source:HGNC Symbol;Acc:HGNC:1917]",0.31399999999999995
"HNRNPA2B1",0.539,0.852,"heterogeneous nuclear ribonucleoprotein A2/B1 [Source:HGNC Symbol;Acc:HGNC:5033]",0.31299999999999994
"WDR1",0.059,0.37,"WD repeat domain 1 [Source:HGNC Symbol;Acc:HGNC:12754]",0.311
"SRI",0.059,0.37,"sorcin [Source:HGNC Symbol;Acc:HGNC:11292]",0.311
"ANKRD11",0.284,0.593,"ankyrin repeat domain 11 [Source:HGNC Symbol;Acc:HGNC:21316]",0.309
"TBC1D9",0.098,0.407,"TBC1 domain family member 9 [Source:HGNC Symbol;Acc:HGNC:21710]",0.30899999999999994
"TRA2A",0.098,0.407,"transformer 2 alpha homolog [Source:HGNC Symbol;Acc:HGNC:16645]",0.30899999999999994
"TARDBP",0.098,0.407,"TAR DNA binding protein [Source:HGNC Symbol;Acc:HGNC:11571]",0.30899999999999994
"RBM33",0.098,0.407,"RNA binding motif protein 33 [Source:HGNC Symbol;Acc:HGNC:27223]",0.30899999999999994
"POLR2K",0.098,0.407,"RNA polymerase II subunit K [Source:HGNC Symbol;Acc:HGNC:9198]",0.30899999999999994
"TNFRSF14",0.137,0.444,"TNF receptor superfamily member 14 [Source:HGNC Symbol;Acc:HGNC:11912]",0.307
"SNHG14",0.137,0.444,"small nucleolar RNA host gene 14 [Source:HGNC Symbol;Acc:HGNC:37462]",0.307
"IL16",0.176,0.481,"interleukin 16 [Source:HGNC Symbol;Acc:HGNC:5980]",0.305
"SRSF2",0.255,0.556,"serine and arginine rich splicing factor 2 [Source:HGNC Symbol;Acc:HGNC:10783]",0.30100000000000005
"TMCO1",0.069,0.37,"transmembrane and coiled-coil domains 1 [Source:HGNC Symbol;Acc:HGNC:18188]",0.301
"WDR33",0.069,0.37,"WD repeat domain 33 [Source:HGNC Symbol;Acc:HGNC:25651]",0.301
"REST",0.069,0.37,"RE1 silencing transcription factor [Source:HGNC Symbol;Acc:HGNC:9966]",0.301
"GRHPR",0.069,0.37,"glyoxylate and hydroxypyruvate reductase [Source:HGNC Symbol;Acc:HGNC:4570]",0.301
"MRPS7",0.069,0.37,"mitochondrial ribosomal protein S7 [Source:HGNC Symbol;Acc:HGNC:14499]",0.301
"MIF4GD",0.069,0.37,"MIF4G domain containing [Source:HGNC Symbol;Acc:HGNC:24030]",0.301
"ZNF217",0.069,0.37,"zinc finger protein 217 [Source:HGNC Symbol;Acc:HGNC:13009]",0.301
"PJA2",0.108,0.407,"praja ring finger ubiquitin ligase 2 [Source:HGNC Symbol;Acc:HGNC:17481]",0.299
"POU2AF1",0.108,0.407,"POU class 2 homeobox associating factor 1 [Source:HGNC Symbol;Acc:HGNC:9211]",0.299
"SYVN1",0.108,0.407,"synoviolin 1 [Source:HGNC Symbol;Acc:HGNC:20738]",0.299
"IRF9",0.108,0.407,"interferon regulatory factor 9 [Source:HGNC Symbol;Acc:HGNC:6131]",0.299
"SRSF10",0.147,0.444,"serine and arginine rich splicing factor 10 [Source:HGNC Symbol;Acc:HGNC:16713]",0.29700000000000004
"PALM2-AKAP2",0.147,0.444,"PALM2-AKAP2 fusion [Source:HGNC Symbol;Acc:HGNC:33529]",0.29700000000000004
"SNHG8",0.147,0.444,"small nucleolar RNA host gene 8 [Source:HGNC Symbol;Acc:HGNC:33098]",0.29700000000000004
"ZNF580",0.147,0.444,"zinc finger protein 580 [Source:HGNC Symbol;Acc:HGNC:29473]",0.29700000000000004
"ADAM28",0.333,0.63,"ADAM metallopeptidase domain 28 [Source:HGNC Symbol;Acc:HGNC:206]",0.297
"NDUFB9",0.078,0.37,"NADH:ubiquinone oxidoreductase subunit B9 [Source:HGNC Symbol;Acc:HGNC:7704]",0.292
"ROMO1",0.078,0.37,"reactive oxygen species modulator 1 [Source:HGNC Symbol;Acc:HGNC:16185]",0.292
"UBE2G1",0.078,0.37,"ubiquitin conjugating enzyme E2 G1 [Source:HGNC Symbol;Acc:HGNC:12482]",0.292
"BCAS2",0.078,0.37,"BCAS2 pre-mRNA processing factor [Source:HGNC Symbol;Acc:HGNC:975]",0.292
"RAD50",0.078,0.37,"RAD50 double strand break repair protein [Source:HGNC Symbol;Acc:HGNC:9816]",0.292
"DNAJB6",0.078,0.37,"DnaJ heat shock protein family (Hsp40) member B6 [Source:HGNC Symbol;Acc:HGNC:14888]",0.292
"FAM120A",0.078,0.37,"family with sequence similarity 120A [Source:HGNC Symbol;Acc:HGNC:13247]",0.292
"TMPO",0.078,0.37,"thymopoietin [Source:HGNC Symbol;Acc:HGNC:11875]",0.292
"WASHC4",0.078,0.37,"WASH complex subunit 4 [Source:HGNC Symbol;Acc:HGNC:29174]",0.292
"CNDP2",0.118,0.407,"carnosine dipeptidase 2 [Source:HGNC Symbol;Acc:HGNC:24437]",0.289
"GLS",0.118,0.407,"glutaminase [Source:HGNC Symbol;Acc:HGNC:4331]",0.289
"CSNK2B",0.118,0.407,"casein kinase 2 beta [Source:HGNC Symbol;Acc:HGNC:2460]",0.289
"FAAP20",0.118,0.407,"FA core complex associated protein 20 [Source:HGNC Symbol;Acc:HGNC:26428]",0.289
"NAGK",0.118,0.407,"N-acetylglucosamine kinase [Source:HGNC Symbol;Acc:HGNC:17174]",0.289
"KCNN4",0.304,0.593,"potassium calcium-activated channel subfamily N member 4 [Source:HGNC Symbol;Acc:HGNC:6293]",0.289
"GNG5",0.157,0.444,"G protein subunit gamma 5 [Source:HGNC Symbol;Acc:HGNC:4408]",0.28700000000000003
"COMMD2",0.049,0.333,"COMM domain containing 2 [Source:HGNC Symbol;Acc:HGNC:24993]",0.28400000000000003
"DCTN5",0.049,0.333,"dynactin subunit 5 [Source:HGNC Symbol;Acc:HGNC:24594]",0.28400000000000003
"CD83",0.235,0.519,"CD83 molecule [Source:HGNC Symbol;Acc:HGNC:1703]",0.28400000000000003
"CNOT7",0.088,0.37,"CCR4-NOT transcription complex subunit 7 [Source:HGNC Symbol;Acc:HGNC:14101]",0.28200000000000003
"DCK",0.088,0.37,"deoxycytidine kinase [Source:HGNC Symbol;Acc:HGNC:2704]",0.28200000000000003
"RIC3",0.088,0.37,"RIC3 acetylcholine receptor chaperone [Source:HGNC Symbol;Acc:HGNC:30338]",0.28200000000000003
"SMIM14",0.088,0.37,"small integral membrane protein 14 [Source:HGNC Symbol;Acc:HGNC:27321]",0.28200000000000003
"PDCD5",0.088,0.37,"programmed cell death 5 [Source:HGNC Symbol;Acc:HGNC:8764]",0.28200000000000003
"IGHA2",0.275,0.556,"immunoglobulin heavy constant alpha 2 (A2m marker) [Source:HGNC Symbol;Acc:HGNC:5479]",0.281
"ETS1",0.127,0.407,"ETS proto-oncogene 1, transcription factor [Source:HGNC Symbol;Acc:HGNC:3488]",0.27999999999999997
"PPCS",0.059,0.333,"phosphopantothenoylcysteine synthetase [Source:HGNC Symbol;Acc:HGNC:25686]",0.274
"AKR1A1",0.059,0.333,"aldo-keto reductase family 1 member A1 [Source:HGNC Symbol;Acc:HGNC:380]",0.274
"ILF2",0.059,0.333,"interleukin enhancer binding factor 2 [Source:HGNC Symbol;Acc:HGNC:6037]",0.274
"MPC2",0.059,0.333,"mitochondrial pyruvate carrier 2 [Source:HGNC Symbol;Acc:HGNC:24515]",0.274
"SFT2D2",0.059,0.333,"SFT2 domain containing 2 [Source:HGNC Symbol;Acc:HGNC:25140]",0.274
"PAIP1",0.059,0.333,"poly(A) binding protein interacting protein 1 [Source:HGNC Symbol;Acc:HGNC:16945]",0.274
"GRK6",0.059,0.333,"G protein-coupled receptor kinase 6 [Source:HGNC Symbol;Acc:HGNC:4545]",0.274
"XPA",0.059,0.333,"XPA, DNA damage recognition and repair factor [Source:HGNC Symbol;Acc:HGNC:12814]",0.274
"COA4",0.059,0.333,"cytochrome c oxidase assembly factor 4 homolog [Source:HGNC Symbol;Acc:HGNC:24604]",0.274
"CBX5",0.059,0.333,"chromobox 5 [Source:HGNC Symbol;Acc:HGNC:1555]",0.274
"SMCHD1",0.284,0.556,"structural maintenance of chromosomes flexible hinge domain containing 1 [Source:HGNC Symbol;Acc:HGNC:29090]",0.2720000000000001
"UBTF",0.098,0.37,"upstream binding transcription factor [Source:HGNC Symbol;Acc:HGNC:12511]",0.272
"MSI2",0.098,0.37,"musashi RNA binding protein 2 [Source:HGNC Symbol;Acc:HGNC:18585]",0.272
"RAB11B",0.098,0.37,"RAB11B, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:9761]",0.272
"NUDC",0.098,0.37,"nuclear distribution C, dynein complex regulator [Source:HGNC Symbol;Acc:HGNC:8045]",0.272
"NDUFS2",0.098,0.37,"NADH:ubiquinone oxidoreductase core subunit S2 [Source:HGNC Symbol;Acc:HGNC:7708]",0.272
"FXR1",0.098,0.37,"FMR1 autosomal homolog 1 [Source:HGNC Symbol;Acc:HGNC:4023]",0.272
"EAPP",0.098,0.37,"E2F associated phosphoprotein [Source:HGNC Symbol;Acc:HGNC:19312]",0.272
"U2SURP",0.137,0.407,"U2 snRNP associated SURP domain containing [Source:HGNC Symbol;Acc:HGNC:30855]",0.26999999999999996
"C11orf58",0.137,0.407,"chromosome 11 open reading frame 58 [Source:HGNC Symbol;Acc:HGNC:16990]",0.26999999999999996
"HNRNPR",0.176,0.444,"heterogeneous nuclear ribonucleoprotein R [Source:HGNC Symbol;Acc:HGNC:5047]",0.268
"CBX3",0.176,0.444,"chromobox 3 [Source:HGNC Symbol;Acc:HGNC:1553]",0.268
"GPX4",0.176,0.444,"glutathione peroxidase 4 [Source:HGNC Symbol;Acc:HGNC:4556]",0.268
"SF3B1",0.216,0.481,"splicing factor 3b subunit 1 [Source:HGNC Symbol;Acc:HGNC:10768]",0.265
"HERC4",0.069,0.333,"HECT and RLD domain containing E3 ubiquitin protein ligase 4 [Source:HGNC Symbol;Acc:HGNC:24521]",0.264
"UBE2J2",0.069,0.333,"ubiquitin conjugating enzyme E2 J2 [Source:HGNC Symbol;Acc:HGNC:19268]",0.264
"MRPS15",0.069,0.333,"mitochondrial ribosomal protein S15 [Source:HGNC Symbol;Acc:HGNC:14504]",0.264
"GTF2B",0.069,0.333,"general transcription factor IIB [Source:HGNC Symbol;Acc:HGNC:4648]",0.264
"DUSP2",0.069,0.333,"dual specificity phosphatase 2 [Source:HGNC Symbol;Acc:HGNC:3068]",0.264
"NFE2L2",0.069,0.333,"nuclear factor, erythroid 2 like 2 [Source:HGNC Symbol;Acc:HGNC:7782]",0.264
"DHX36",0.069,0.333,"DEAH-box helicase 36 [Source:HGNC Symbol;Acc:HGNC:14410]",0.264
"GNL1",0.069,0.333,"G protein nucleolar 1 (putative) [Source:HGNC Symbol;Acc:HGNC:4413]",0.264
"BCL7B",0.069,0.333,"BAF chromatin remodeling complex subunit BCL7B [Source:HGNC Symbol;Acc:HGNC:1005]",0.264
"ZNF395",0.069,0.333,"zinc finger protein 395 [Source:HGNC Symbol;Acc:HGNC:18737]",0.264
"PHF11",0.069,0.333,"PHD finger protein 11 [Source:HGNC Symbol;Acc:HGNC:17024]",0.264
"PHKB",0.069,0.333,"phosphorylase kinase regulatory subunit beta [Source:HGNC Symbol;Acc:HGNC:8927]",0.264
"CENPX",0.069,0.333,"centromere protein X [Source:HGNC Symbol;Acc:HGNC:11422]",0.264
"PTBP1",0.069,0.333,"polypyrimidine tract binding protein 1 [Source:HGNC Symbol;Acc:HGNC:9583]",0.264
"SHKBP1",0.069,0.333,"SH3KBP1 binding protein 1 [Source:HGNC Symbol;Acc:HGNC:19214]",0.264
"ACAP2",0.108,0.37,"ArfGAP with coiled-coil, ankyrin repeat and PH domains 2 [Source:HGNC Symbol;Acc:HGNC:16469]",0.262
"ZC3H12D",0.108,0.37,"zinc finger CCCH-type containing 12D [Source:HGNC Symbol;Acc:HGNC:21175]",0.262
"DANCR",0.108,0.37,"differentiation antagonizing non-protein coding RNA [Source:HGNC Symbol;Acc:HGNC:28964]",0.262
"TCP1",0.108,0.37,"t-complex 1 [Source:HGNC Symbol;Acc:HGNC:11655]",0.262
"GRK3",0.108,0.37,"G protein-coupled receptor kinase 3 [Source:HGNC Symbol;Acc:HGNC:290]",0.262
"RBMX",0.147,0.407,"RNA binding motif protein X-linked [Source:HGNC Symbol;Acc:HGNC:9910]",0.26
"RBM25",0.186,0.444,"RNA binding motif protein 25 [Source:HGNC Symbol;Acc:HGNC:23244]",0.258
"RCSD1",0.186,0.444,"RCSD domain containing 1 [Source:HGNC Symbol;Acc:HGNC:28310]",0.258
"STIM2",0.186,0.444,"stromal interaction molecule 2 [Source:HGNC Symbol;Acc:HGNC:19205]",0.258
"TXNIP",0.373,0.63,"thioredoxin interacting protein [Source:HGNC Symbol;Acc:HGNC:16952]",0.257
"EVL",0.225,0.481,"Enah/Vasp-like [Source:HGNC Symbol;Acc:HGNC:20234]",0.256
"PLEKHA3",0.078,0.333,"pleckstrin homology domain containing A3 [Source:HGNC Symbol;Acc:HGNC:14338]",0.255
"CCT7",0.078,0.333,"chaperonin containing TCP1 subunit 7 [Source:HGNC Symbol;Acc:HGNC:1622]",0.255
"GSPT1",0.078,0.333,"G1 to S phase transition 1 [Source:HGNC Symbol;Acc:HGNC:4621]",0.255
"PPIE",0.078,0.333,"peptidylprolyl isomerase E [Source:HGNC Symbol;Acc:HGNC:9258]",0.255
"CXCR5",0.078,0.333,"C-X-C motif chemokine receptor 5 [Source:HGNC Symbol;Acc:HGNC:1060]",0.255
"SBNO1",0.078,0.333,"strawberry notch homolog 1 [Source:HGNC Symbol;Acc:HGNC:22973]",0.255
"FLOT2",0.078,0.333,"flotillin 2 [Source:HGNC Symbol;Acc:HGNC:3758]",0.255
"RAB5C",0.078,0.333,"RAB5C, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:9785]",0.255
"SLC25A19",0.078,0.333,"solute carrier family 25 member 19 [Source:HGNC Symbol;Acc:HGNC:14409]",0.255
"ZNF24",0.078,0.333,"zinc finger protein 24 [Source:HGNC Symbol;Acc:HGNC:13032]",0.255
"ZFP36L2",0.265,0.519,"ZFP36 ring finger protein like 2 [Source:HGNC Symbol;Acc:HGNC:1108]",0.254
"CCT3",0.118,0.37,"chaperonin containing TCP1 subunit 3 [Source:HGNC Symbol;Acc:HGNC:1616]",0.252
"ZRANB2",0.118,0.37,"zinc finger RANBP2-type containing 2 [Source:HGNC Symbol;Acc:HGNC:13058]",0.252
"TRIM38",0.118,0.37,"tripartite motif containing 38 [Source:HGNC Symbol;Acc:HGNC:10059]",0.252
"GNPTAB",0.118,0.37,"N-acetylglucosamine-1-phosphate transferase subunits alpha and beta [Source:HGNC Symbol;Acc:HGNC:29670]",0.252
"SRRM1",0.157,0.407,"serine and arginine repetitive matrix 1 [Source:HGNC Symbol;Acc:HGNC:16638]",0.24999999999999997
"TNFRSF13C",0.529,0.778,"TNF receptor superfamily member 13C [Source:HGNC Symbol;Acc:HGNC:17755]",0.249
"ORMDL1",0.196,0.444,"ORMDL sphingolipid biosynthesis regulator 1 [Source:HGNC Symbol;Acc:HGNC:16036]",0.248
"KRT10",0.196,0.444,"keratin 10 [Source:HGNC Symbol;Acc:HGNC:6413]",0.248
"ELP6",0.049,0.296,"elongator acetyltransferase complex subunit 6 [Source:HGNC Symbol;Acc:HGNC:25976]",0.247
"NAAA",0.049,0.296,"N-acylethanolamine acid amidase [Source:HGNC Symbol;Acc:HGNC:736]",0.247
"MRPS18B",0.049,0.296,"mitochondrial ribosomal protein S18B [Source:HGNC Symbol;Acc:HGNC:14516]",0.247
"AKR1B1",0.049,0.296,"aldo-keto reductase family 1 member B [Source:HGNC Symbol;Acc:HGNC:381]",0.247
"RPS6KB2",0.049,0.296,"ribosomal protein S6 kinase B2 [Source:HGNC Symbol;Acc:HGNC:10437]",0.247
"BICD1",0.049,0.296,"BICD cargo adaptor 1 [Source:HGNC Symbol;Acc:HGNC:1049]",0.247
"HECTD1",0.049,0.296,"HECT domain E3 ubiquitin protein ligase 1 [Source:HGNC Symbol;Acc:HGNC:20157]",0.247
"FGR",0.088,0.333,"FGR proto-oncogene, Src family tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:3697]",0.24500000000000002
"SAT2",0.088,0.333,"spermidine/spermine N1-acetyltransferase family member 2 [Source:HGNC Symbol;Acc:HGNC:23160]",0.24500000000000002
"NOP58",0.088,0.333,"NOP58 ribonucleoprotein [Source:HGNC Symbol;Acc:HGNC:29926]",0.24500000000000002
"PYURF",0.088,0.333,"PIGY upstream reading frame [Source:HGNC Symbol;Acc:HGNC:44317]",0.24500000000000002
"ARFGAP2",0.088,0.333,"ADP ribosylation factor GTPase activating protein 2 [Source:HGNC Symbol;Acc:HGNC:13504]",0.24500000000000002
"TSR2",0.088,0.333,"TSR2 ribosome maturation factor [Source:HGNC Symbol;Acc:HGNC:25455]",0.24500000000000002
"IRF1",0.088,0.333,"interferon regulatory factor 1 [Source:HGNC Symbol;Acc:HGNC:6116]",0.24500000000000002
"LRRK2",0.088,0.333,"leucine rich repeat kinase 2 [Source:HGNC Symbol;Acc:HGNC:18618]",0.24500000000000002
"ARPP19",0.088,0.333,"cAMP regulated phosphoprotein 19 [Source:HGNC Symbol;Acc:HGNC:16967]",0.24500000000000002
"NKTR",0.127,0.37,"natural killer cell triggering receptor [Source:HGNC Symbol;Acc:HGNC:7833]",0.243
"MAF1",0.127,0.37,"MAF1 homolog, negative regulator of RNA polymerase III [Source:HGNC Symbol;Acc:HGNC:24966]",0.243
"PLEKHA2",0.127,0.37,"pleckstrin homology domain containing A2 [Source:HGNC Symbol;Acc:HGNC:14336]",0.243
"NSMCE3",0.127,0.37,"NSE3 homolog, SMC5-SMC6 complex component [Source:HGNC Symbol;Acc:HGNC:7677]",0.243
"FCGRT",0.127,0.37,"Fc fragment of IgG receptor and transporter [Source:HGNC Symbol;Acc:HGNC:3621]",0.243
"IKZF3",0.167,0.407,"IKAROS family zinc finger 3 [Source:HGNC Symbol;Acc:HGNC:13178]",0.23999999999999996
"SBDS",0.167,0.407,"SBDS ribosome maturation factor [Source:HGNC Symbol;Acc:HGNC:19440]",0.23999999999999996
"TMC6",0.167,0.407,"transmembrane channel like 6 [Source:HGNC Symbol;Acc:HGNC:18021]",0.23999999999999996
"BAX",0.167,0.407,"BCL2 associated X, apoptosis regulator [Source:HGNC Symbol;Acc:HGNC:959]",0.23999999999999996
"CDC37",0.206,0.444,"cell division cycle 37 [Source:HGNC Symbol;Acc:HGNC:1735]",0.23800000000000002
"TENT2",0.059,0.296,"terminal nucleotidyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:26776]",0.237
"PELI1",0.059,0.296,"pellino E3 ubiquitin protein ligase 1 [Source:HGNC Symbol;Acc:HGNC:8827]",0.237
"CHCHD5",0.059,0.296,"coiled-coil-helix-coiled-coil-helix domain containing 5 [Source:HGNC Symbol;Acc:HGNC:17840]",0.237
"PDCD6IP",0.059,0.296,"programmed cell death 6 interacting protein [Source:HGNC Symbol;Acc:HGNC:8766]",0.237
"LPP",0.059,0.296,"LIM domain containing preferred translocation partner in lipoma [Source:HGNC Symbol;Acc:HGNC:6679]",0.237
"SLBP",0.059,0.296,"stem-loop binding protein [Source:HGNC Symbol;Acc:HGNC:10904]",0.237
"ZNF736",0.059,0.296,"zinc finger protein 736 [Source:HGNC Symbol;Acc:HGNC:32467]",0.237
"LPXN",0.059,0.296,"leupaxin [Source:HGNC Symbol;Acc:HGNC:14061]",0.237
"SARNP",0.059,0.296,"SAP domain containing ribonucleoprotein [Source:HGNC Symbol;Acc:HGNC:24432]",0.237
"DNAJA2",0.059,0.296,"DnaJ heat shock protein family (Hsp40) member A2 [Source:HGNC Symbol;Acc:HGNC:14884]",0.237
"IST1",0.059,0.296,"IST1 factor associated with ESCRT-III [Source:HGNC Symbol;Acc:HGNC:28977]",0.237
"PSMD11",0.059,0.296,"proteasome 26S subunit, non-ATPase 11 [Source:HGNC Symbol;Acc:HGNC:9556]",0.237
"BSG",0.059,0.296,"basigin (Ok blood group) [Source:HGNC Symbol;Acc:HGNC:1116]",0.237
"ZNF581",0.059,0.296,"zinc finger protein 581 [Source:HGNC Symbol;Acc:HGNC:25017]",0.237
"SASH3",0.059,0.296,"SAM and SH3 domain containing 3 [Source:HGNC Symbol;Acc:HGNC:15975]",0.237
"RBM5",0.098,0.333,"RNA binding motif protein 5 [Source:HGNC Symbol;Acc:HGNC:9902]",0.23500000000000001
"LTA4H",0.098,0.333,"leukotriene A4 hydrolase [Source:HGNC Symbol;Acc:HGNC:6710]",0.23500000000000001
"PRPF8",0.098,0.333,"pre-mRNA processing factor 8 [Source:HGNC Symbol;Acc:HGNC:17340]",0.23500000000000001
"SSR1",0.098,0.333,"signal sequence receptor subunit 1 [Source:HGNC Symbol;Acc:HGNC:11323]",0.23500000000000001
"MAPK1",0.098,0.333,"mitogen-activated protein kinase 1 [Source:HGNC Symbol;Acc:HGNC:6871]",0.23500000000000001
"TMF1",0.098,0.333,"TATA element modulatory factor 1 [Source:HGNC Symbol;Acc:HGNC:11870]",0.23500000000000001
"SKIL",0.098,0.333,"SKI like proto-oncogene [Source:HGNC Symbol;Acc:HGNC:10897]",0.23500000000000001
"IGHG2",0.098,0.333,"immunoglobulin heavy constant gamma 2 (G2m marker) [Source:HGNC Symbol;Acc:HGNC:5526]",0.23500000000000001
"PARVG",0.098,0.333,"parvin gamma [Source:HGNC Symbol;Acc:HGNC:14654]",0.23500000000000001
"OFD1",0.098,0.333,"OFD1 centriole and centriolar satellite protein [Source:HGNC Symbol;Acc:HGNC:2567]",0.23500000000000001
"AUP1",0.137,0.37,"AUP1 lipid droplet regulating VLDL assembly factor [Source:HGNC Symbol;Acc:HGNC:891]",0.23299999999999998
"EHMT1",0.137,0.37,"euchromatic histone lysine methyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:24650]",0.23299999999999998
"RBM4",0.137,0.37,"RNA binding motif protein 4 [Source:HGNC Symbol;Acc:HGNC:9901]",0.23299999999999998
"SLTM",0.137,0.37,"SAFB like transcription modulator [Source:HGNC Symbol;Acc:HGNC:20709]",0.23299999999999998
"C19orf25",0.029,0.259,"chromosome 19 open reading frame 25 [Source:HGNC Symbol;Acc:HGNC:26711]",0.23
"IGHG3",0.363,0.593,"immunoglobulin heavy constant gamma 3 (G3m marker) [Source:HGNC Symbol;Acc:HGNC:5527]",0.22999999999999998
"NCBP2",0.069,0.296,"nuclear cap binding protein subunit 2 [Source:HGNC Symbol;Acc:HGNC:7659]",0.22699999999999998
"MARCH6",0.069,0.296,"membrane associated ring-CH-type finger 6 [Source:HGNC Symbol;Acc:HGNC:30550]",0.22699999999999998
"GSDMD",0.069,0.296,"gasdermin D [Source:HGNC Symbol;Acc:HGNC:25697]",0.22699999999999998
"DR1",0.069,0.296,"down-regulator of transcription 1 [Source:HGNC Symbol;Acc:HGNC:3017]",0.22699999999999998
"RO60",0.069,0.296,"Ro60, Y RNA binding protein [Source:HGNC Symbol;Acc:HGNC:11313]",0.22699999999999998
"DNAJC10",0.069,0.296,"DnaJ heat shock protein family (Hsp40) member C10 [Source:HGNC Symbol;Acc:HGNC:24637]",0.22699999999999998
"MOB4",0.069,0.296,"MOB family member 4, phocein [Source:HGNC Symbol;Acc:HGNC:17261]",0.22699999999999998
"BMPR2",0.069,0.296,"bone morphogenetic protein receptor type 2 [Source:HGNC Symbol;Acc:HGNC:1078]",0.22699999999999998
"TMEM165",0.069,0.296,"transmembrane protein 165 [Source:HGNC Symbol;Acc:HGNC:30760]",0.22699999999999998
"C5orf24",0.069,0.296,"chromosome 5 open reading frame 24 [Source:HGNC Symbol;Acc:HGNC:26746]",0.22699999999999998
"PMPCB",0.069,0.296,"peptidase, mitochondrial processing beta subunit [Source:HGNC Symbol;Acc:HGNC:9119]",0.22699999999999998
"KRR1",0.069,0.296,"KRR1 small subunit processome component homolog [Source:HGNC Symbol;Acc:HGNC:5176]",0.22699999999999998
"ORAI1",0.069,0.296,"ORAI calcium release-activated calcium modulator 1 [Source:HGNC Symbol;Acc:HGNC:25896]",0.22699999999999998
"PPP2R5E",0.069,0.296,"protein phosphatase 2 regulatory subunit B'epsilon [Source:HGNC Symbol;Acc:HGNC:9313]",0.22699999999999998
"EMC7",0.069,0.296,"ER membrane protein complex subunit 7 [Source:HGNC Symbol;Acc:HGNC:24301]",0.22699999999999998
"SRSF1",0.069,0.296,"serine and arginine rich splicing factor 1 [Source:HGNC Symbol;Acc:HGNC:10780]",0.22699999999999998
"MYO9B",0.069,0.296,"myosin IXB [Source:HGNC Symbol;Acc:HGNC:7609]",0.22699999999999998
"UBE2G2",0.069,0.296,"ubiquitin conjugating enzyme E2 G2 [Source:HGNC Symbol;Acc:HGNC:12483]",0.22699999999999998
"CSNK1E",0.069,0.296,"casein kinase 1 epsilon [Source:HGNC Symbol;Acc:HGNC:2453]",0.22699999999999998
"NDUFA6",0.069,0.296,"NADH:ubiquinone oxidoreductase subunit A6 [Source:HGNC Symbol;Acc:HGNC:7690]",0.22699999999999998
"GRIPAP1",0.069,0.296,"GRIP1 associated protein 1 [Source:HGNC Symbol;Acc:HGNC:18706]",0.22699999999999998
"STAG2",0.069,0.296,"stromal antigen 2 [Source:HGNC Symbol;Acc:HGNC:11355]",0.22699999999999998
"NR1H2",0.108,0.333,"nuclear receptor subfamily 1 group H member 2 [Source:HGNC Symbol;Acc:HGNC:7965]",0.22500000000000003
"TTC19",0.108,0.333,"tetratricopeptide repeat domain 19 [Source:HGNC Symbol;Acc:HGNC:26006]",0.22500000000000003
"WIPF1",0.108,0.333,"WAS/WASL interacting protein family member 1 [Source:HGNC Symbol;Acc:HGNC:12736]",0.22500000000000003
"PTPN12",0.108,0.333,"protein tyrosine phosphatase non-receptor type 12 [Source:HGNC Symbol;Acc:HGNC:9645]",0.22500000000000003
